,Country,Conf,New conf,Deaths,New deaths,Date
0,United States of America,1951096,17536,110770,550,2020-06-10
1,Spain,241966,249,27136,0,2020-06-10
2,Italy,235561,283,34043,79,2020-06-10
3,Germany,184861,318,8729,18,2020-06-10
4,China,84641,3,4645,0,2020-06-10
5,United States of America,1933560,17848,110220,474,2020-06-09
6,Spain,241717,167,27136,0,2020-06-09
7,Italy,235278,280,33964,65,2020-06-09
8,Germany,184543,350,8711,37,2020-06-09
9,China,84638,4,4645,0,2020-06-09
10,United States of America,1915712,28918,109746,708,2020-06-08
11,Spain,241550,240,27136,1,2020-06-08
12,Italy,234998,197,33899,53,2020-06-08
13,Germany,184193,214,8674,6,2020-06-08
14,China,84634,5,4645,0,2020-06-08
15,United States of America,1886794,28922,109038,1127,2020-06-07
16,Spain,241310,332,27135,1,2020-06-07
17,Italy,234801,270,33846,72,2020-06-07
18,Germany,183979,301,8668,22,2020-06-07
19,China,84629,9,4645,0,2020-06-07
20,United States of America,1857872,20069,107911,1035,2020-06-06
21,Spain,240978,318,27134,1,2020-06-06
22,Italy,234531,518,33774,85,2020-06-06
23,Germany,183678,407,8646,33,2020-06-06
24,China,84620,6,4645,0,2020-06-06
25,United States of America,1837803,14583,106876,825,2020-06-05
26,Spain,240660,334,27133,807,2020-06-05
27,Italy,234013,177,33689,88,2020-06-05
28,Germany,183271,507,8613,32,2020-06-05
29,China,84614,11,4645,0,2020-06-05
30,United States of America,1823220,24890,106051,1043,2020-06-04
31,Spain,240326,394,27940,0,2020-06-04
32,Italy,233836,321,33601,71,2020-06-04
33,Germany,182764,394,8581,30,2020-06-04
34,China,84603,1,4645,0,2020-06-04
35,United States of America,1798330,14692,105008,761,2020-06-03
36,Spain,240304,294,29858,0,2020-06-03
37,Italy,233515,318,33530,55,2020-06-03
38,Germany,182370,342,8551,29,2020-06-03
39,China,84602,5,4645,0,2020-06-03
40,United States of America,1783638,26116,104247,693,2020-06-02
41,Spain,240010,209,29858,813,2020-06-02
42,Italy,233197,178,33475,60,2020-06-02
43,Germany,182028,213,8522,11,2020-06-02
44,China,84597,9,4645,0,2020-06-02
45,United States of America,1734040,17962,102640,1073,2020-06-01
46,Spain,239801,201,29045,2,2020-06-01
47,Italy,233019,355,33415,75,2020-06-01
48,Germany,181815,333,8511,11,2020-06-01
49,China,84588,18,4645,0,2020-06-01
50,United States of America,1716078,21214,101567,1263,2020-05-31
51,Spain,239600,664,29043,4,2020-05-31
52,Italy,232664,416,33340,111,2020-05-31
53,Germany,181482,286,8500,11,2020-05-31
54,China,84570,5,4645,0,2020-05-31
55,United States of America,1694864,19606,100304,1415,2020-05-30
56,Spain,238936,658,29039,2,2020-05-30
57,Italy,232248,516,33229,87,2020-05-30
58,Germany,181196,738,8489,39,2020-05-30
59,China,84565,18,4645,0,2020-05-30
60,United States of America,1675258,16362,98889,770,2020-05-09
61,Spain,238278,1137,29037,1,2020-05-09
62,Italy,231732,593,33142,70,2020-05-09
63,Germany,180458,741,8450,39,2020-05-09
64,China,84547,0,4645,0,2020-05-09
65,United States of America,1658896,24886,98119,590,2020-05-08
66,Spain,237141,510,29036,1,2020-05-08
67,Italy,231139,584,33072,117,2020-05-08
68,Germany,179717,353,8411,62,2020-05-08
69,China,84547,3,4645,0,2020-05-08
70,United States of America,1634010,15253,97529,620,2020-05-07
71,Spain,236631,1231,29035,2201,2020-05-07
72,Italy,230555,397,32955,78,2020-05-07
73,Germany,179364,362,8349,47,2020-05-07
74,China,84544,1,4645,0,2020-05-07
75,United States of America,1618757,26158,96909,1046,2020-05-06
76,Spain,235400,372,26834,1918,2020-05-06
77,Italy,230158,300,32877,92,2020-05-06
78,Germany,179002,432,8302,45,2020-05-06
79,China,84543,7,4645,0,2020-05-06
80,United States of America,1592599,24151,95863,1852,2020-05-05
81,Spain,235772,482,28752,74,2020-05-05
82,Italy,229858,531,32785,50,2020-05-05
83,Germany,178570,289,8257,10,2020-05-05
84,China,84536,11,4645,0,2020-05-05
85,United States of America,1568448,20475,94011,1088,2020-05-04
86,Spain,235290,466,28678,50,2020-05-04
87,Italy,229327,669,32735,119,2020-05-04
88,Germany,178281,431,8247,31,2020-05-04
89,China,84525,3,4645,0,2020-05-04
90,United States of America,1547973,22787,92923,1396,2020-05-03
91,Spain,234824,1787,28628,688,2020-05-03
92,Italy,228658,652,32616,130,2020-05-03
93,Germany,177850,638,8216,42,2020-05-03
94,China,84522,2,4645,0,2020-05-03
95,United States of America,1525186,23310,91527,1324,2020-05-02
96,Spain,233037,482,27940,52,2020-05-02
97,Italy,228006,642,32486,156,2020-05-02
98,Germany,177212,460,8174,27,2020-05-02
99,China,84520,13,4645,0,2020-05-02
100,United States of America,1501876,24417,90203,932,2020-05-21
101,Spain,232555,518,27888,110,2020-05-21
102,Italy,227364,665,32330,161,2020-05-21
103,Germany,176752,745,8147,57,2020-05-21
104,China,84507,2,4645,0,2020-05-21
105,United States of America,1477459,13227,89271,697,2020-05-20
106,Spain,232037,431,27778,69,2020-05-20
107,Italy,226699,813,32169,162,2020-05-20
108,Germany,176007,797,8090,83,2020-05-20
109,China,84505,5,4645,0,2020-05-20
110,United States of America,1464232,31967,88574,1394,2020-05-09
111,Spain,231606,256,27709,59,2020-05-09
112,Italy,225886,451,32007,99,2020-05-09
113,Germany,175210,513,8007,72,2020-05-09
114,China,84500,6,4645,0,2020-05-09
115,United States of America,1432265,22813,87180,1320,2020-05-08
116,Spain,231350,652,27650,87,2020-05-08
117,Italy,225435,675,31908,145,2020-05-08
118,Germany,174697,342,7935,21,2020-05-08
119,China,84494,10,4645,0,2020-05-08
120,United States of America,1409452,27090,85860,2041,2020-05-07
121,Spain,230698,515,27563,104,2020-05-07
122,Italy,224760,875,31763,153,2020-05-07
123,Germany,174355,583,7914,33,2020-05-07
124,China,84484,6,4645,1,2020-05-07
125,United States of America,1382362,20840,83819,1700,2020-05-06
126,Spain,230183,643,27459,138,2020-05-06
127,Italy,223885,789,31610,242,2020-05-06
128,Germany,173772,620,7881,57,2020-05-06
129,China,84478,9,4644,0,2020-05-06
130,United States of America,1361522,21424,82119,1424,2020-05-05
131,Spain,229540,849,27321,217,2020-05-05
132,Italy,223096,992,31368,262,2020-05-05
133,Germany,173152,913,7824,101,2020-05-05
134,China,84469,5,4644,0,2020-05-05
135,United States of America,1340098,18044,80695,1061,2020-05-04
136,Spain,228691,661,27104,184,2020-05-04
137,Italy,222104,888,31106,195,2020-05-04
138,Germany,172239,933,7723,89,2020-05-04
139,China,84464,6,4644,0,2020-05-04
140,United States of America,1322054,23767,79634,982,2020-05-03
141,Spain,228030,594,26920,176,2020-05-03
142,Italy,221216,1402,30911,172,2020-05-03
143,Germany,171306,798,7634,101,2020-05-03
144,China,84458,7,4644,0,2020-05-03
145,United States of America,1298287,26642,78652,1736,2020-05-12
